name;streetAddress;postalCode;addressLocality;addressRegion;addressCountry;geo_latitude;geo_longitude;url
Oberländer Schafskäsemanufaktur;Struth 20;07570;Harth-Pöllnitz;Sachsen;Deutschland;50.777560;11.951762;https://hofladen.info/hofladen/oberlander-schafskasemanufaktur
Gutshof Kraatz;Schloßstraße 7;17291;Nordwestuckermark;Brandenburg;Deutschland;53.390344;13.666446;https://hofladen.info/hofladen/gutshof-kraatz
Ökohof Engler;Serwester Dorfstraße 72;16230;Chorin;Brandenburg;Deutschland;52.929189;13.925075;https://hofladen.info/hofladen/okohof-engler
Honigmeisterei;Gartenstr. 13;78136;Schonach;Baden-Württemberg;Deutschland;48.140177;8.214982;https://hofladen.info/hofladen/honigmeisterei
Gut Darß;Am Wald 26;18375;Born am Darß;Mecklenburg-Vorpommern;Deutschland;54.387480;12.522090;https://hofladen.info/hofladen/gut-dar%C3%9F
Kartoffellandhof - Siethen;Ebereschenallee 4;14974 ;Ludwigsfelde ;Brandenburg;Deutschland;52.283243;13.212601;https://hofladen.info/hofladen/kartoffellandhof-siethen
Bienenprodukte Versand;Westerberg 3;83550;Emmering;Bayern;Deutschland;47.991877;12.045061;https://hofladen.info/hofladen/bienenprodukte-versand
Holzers Hofladen;Kirchheimer Str. 87;73269;Hochdorf;Baden-Württemberg;Deutschland;48.690280;9.457840;https://hofladen.info/hofladen/holzers-hofladen
Chilli Manufaktur Lüneburger Heide;Dannhorn 5a;29614;Soltau;Niedersachsen;Deutschland;52.957316;9.819601;https://hofladen.info/hofladen/chilli-manufaktur-luneburger-heide
Geflügelhof Ludwig;Kleinhegnach 18;71336;Waiblingen;Baden-Württemberg;Deutschland;48.846227;9.305434;https://hofladen.info/hofladen/geflugelhof-ludwig
Biohof Moll;Haunswieser Str. 9;86444;Affing;Bayern;Deutschland;48.461985;10.985805;https://hofladen.info/hofladen/biohof-moll
Landmarkt Wey;Wey 64 (direkt am Kreisverkehr);41363;Jüchen;Nordrhein-Westfalen;Deutschland;51.134413;6.503584;https://hofladen.info/hofladen/landmarkt-wey
